Scarab gitrev: 3541854
Scarab started at Fri Nov  1 19:11:05 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (125.00 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 166.67 KIPS (142.86 KIPS)
** Heartbeat:  15% -- { 3000003 } -- 111.11 KIPS (130.43 KIPS)
** Heartbeat:  20% -- { 4000007 } -- 83.33 KIPS (114.29 KIPS)
** Heartbeat:  25% -- { 5000008 } -- 100.00 KIPS (111.11 KIPS)
** Heartbeat:  30% -- { 6000008 } -- 76.92 KIPS (103.45 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 83.33 KIPS (100.00 KIPS)
** Heartbeat:  40% -- { 8000013 } -- 111.11 KIPS (101.27 KIPS)
** Heartbeat:  45% -- { 9000017 } -- 100.00 KIPS (101.12 KIPS)
** Heartbeat:  50% -- { 10000018 } -- 83.33 KIPS (99.01 KIPS)
** Heartbeat:  55% -- { 11000018 } -- 100.00 KIPS (99.10 KIPS)
** Heartbeat:  60% -- { 12000018 } -- 111.11 KIPS (100.00 KIPS)
** Heartbeat:  65% -- { 13000018 } -- 90.91 KIPS (99.24 KIPS)
** Heartbeat:  70% -- { 14000019 } -- 83.33 KIPS (97.90 KIPS)
** Heartbeat:  75% -- { 15000023 } -- 100.00 KIPS (98.04 KIPS)
** Heartbeat:  80% -- { 16000026 } -- 76.92 KIPS (96.39 KIPS)
** Heartbeat:  85% -- { 17000026 } -- 111.11 KIPS (97.14 KIPS)
** Heartbeat:  90% -- { 18000026 } -- 111.11 KIPS (97.83 KIPS)
** Heartbeat:  95% -- { 19000026 } -- 76.92 KIPS (96.45 KIPS)
** Core 0 Finished:    insts:20000000    cycles:12155980    time:3798743750000       -- 1.65 IPC (1.65 IPC) --  N/A  KIPS (95.24 KIPS)
Scarab finished at Fri Nov  1 19:14:35 2024

